q(A-1)	I(q)20230413_0_00017.edf{0}_circles_22_division_ExposureTime	Sig(q)20230413_0_00017.edf{0}_circles_22	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.04944	20.13611	0.05935
0.00450	0.04334	3.00726	0.06331
0.00478	0.03926	1.59182	0.06726
0.00507	0.03590	1.24001	0.07122
0.00535	0.03269	1.14238	0.07518
0.00563	0.02975	1.05990	0.07913
0.00591	0.02835	1.00846	0.08309
0.00619	0.02570	0.93022	0.08705
0.00647	0.02426	0.88741	0.09100
0.00675	0.02312	0.84235	0.09496
0.00704	0.02195	0.81198	0.09892
0.00732	0.02092	0.78545	0.10287
0.00760	0.02007	0.75616	0.10683
0.00788	0.01888	0.72794	0.11079
0.00816	0.01813	0.70104	0.11474
0.00844	0.01750	0.68460	0.11870
0.00872	0.01674	0.66069	0.12266
0.00901	0.01602	0.63704	0.12661
0.00929	0.01517	0.61704	0.13057
0.00957	0.01507	0.60462	0.13453
0.00985	0.01447	0.59056	0.13848
0.01013	0.01406	0.57294	0.14244
0.01041	0.01389	0.56407	0.14640
0.01069	0.01374	0.55764	0.15035
0.01097	0.01284	0.53115	0.15431
0.01126	0.01232	0.51828	0.15827
0.01154	0.01249	0.51381	0.16222
0.01182	0.01188	0.49863	0.16618
0.01210	0.01136	0.48372	0.17014
0.01238	0.01164	0.48307	0.17409
0.01266	0.01101	0.46805	0.17805
0.01294	0.01057	0.45242	0.18201
0.01323	0.01051	0.44966	0.18597
0.01351	0.01030	0.44100	0.18992
0.01379	0.01037	0.43705	0.19388
0.01407	0.00972	0.42225	0.19784
0.01435	0.00911	0.40350	0.20179
0.01463	0.00917	0.40374	0.20575
0.01491	0.00893	0.39365	0.20971
0.01520	0.00874	0.38679	0.21366
0.01548	0.00850	0.37990	0.21762
0.01576	0.00838	0.37280	0.22157
0.01604	0.00836	0.37125	0.22553
0.01632	0.00805	0.36000	0.22949
0.01660	0.00773	0.35149	0.23344
0.01688	0.00752	0.34464	0.23740
0.01717	0.00702	0.32982	0.24136
0.01745	0.00730	0.33462	0.24531
0.01773	0.00714	0.32792	0.24927
0.01801	0.00707	0.32559	0.25323
0.01829	0.00648	0.30906	0.25718
0.01857	0.00626	0.30129	0.26114
0.01885	0.00642	0.30420	0.26510
0.01914	0.00613	0.29443	0.26905
0.01942	0.00591	0.28861	0.27301
0.01970	0.00597	0.28675	0.27697
0.01998	0.00570	0.27945	0.28092
0.02026	0.00549	0.27259	0.28488
0.02054	0.00520	0.26355	0.28884
0.02082	0.00535	0.26627	0.29279
0.02111	0.00511	0.25757	0.29675
0.02139	0.00492	0.25261	0.30071
0.02167	0.00479	0.24730	0.30466
0.02195	0.00461	0.24116	0.30862
0.02223	0.00454	0.23840	0.31258
0.02251	0.00455	0.23653	0.31653
0.02279	0.00466	0.23932	0.32049
